"","Ring_Inschrift","Fundtyp","Artbezeichnung deutsch","Ortsbezeichnung","Datum","Beobachter","Altersdefinition","Bemerkung","Geschlecht","date","year","month","day","Gewicht_num_min","Fluegellaenge_num_min","Teilfederlaenge_num_min"
"882","PA95289","Wiederfund","Bartmeise","Rietzer See","07.07.2004 07:00:00","Dürr, Tobias","Adult","F:63;FETT:1","männlich",2004-07-07,2004,7,7,15,63,4.5
"883","VB83029","Wiederfund","Bartmeise","Rietzer See","18.05.2002 05:00:00","Dürr, Tobias","Adult","F:57;FETT:1","männlich",2002-05-18,2002,5,18,14.5,57,4.4
"884","VD54893","Wiederfund","Bartmeise","Rietzer See","20.02.2003 09:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2003-02-20,2003,2,20,14.5,60,4.5
"885","VD75678","Wiederfund","Bartmeise","Rietzer See","06.07.2004 19:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2004-07-06,2004,7,6,15,60,4.3
"886","VB83029","Wiederfund","Bartmeise","Rietzer See","17.05.2002 09:00:00","Dürr, Tobias","Adult","F:57;FETT:1","männlich",2002-05-17,2002,5,17,14.5,57,4.4
"887","VC98574","Wiederfund","Bartmeise","Rietzer See","28.09.2002 08:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2002-09-28,2002,9,28,15,60,4.5
"888","VB83029","Wiederfund","Bartmeise","Rietzer See","31.03.2002 09:00:00","Dürr, Tobias","Adult","F:57;FETT:1","männlich",2002-03-31,2002,3,31,14.5,57,4.4
"889","VD55383","Wiederfund","Bartmeise","Rietzer See","16.07.2005 05:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2005-07-16,2005,7,16,13,58,4.4
"890","VD55385","Wiederfund","Bartmeise","Rietzer See","28.01.2005 11:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2005-01-28,2005,1,28,13.5,58,4.6
"891","VD29435","Wiederfund","Bartmeise","Rietzer See","27.09.2002 19:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2002-09-27,2002,9,27,14.5,46,4.4
"892","VD29088","Wiederfund","Bartmeise","Rietzer See","26.04.2002 17:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2002-04-26,2002,4,26,17,62,4.4
"893","VD75489","Wiederfund","Bartmeise","Rietzer See","07.07.2004 06:00:00","Dürr, Tobias","Adult","EWF:1710","weiblich",2004-07-07,2004,7,7,13.5,56,4.4
"894","VD29081","Wiederfund","Bartmeise","Rietzer See","27.12.2002 09:00:00","Dürr, Tobias","Adult","EWF:1710","männlich",2002-12-27,2002,12,27,16,63,4.5
